скажу, 6
сердца, 6
сей, 6
сего, 6
сделалось, 6
самозванцу, 6
речь, 6
рассказала, 6
ранен, 6
пришел, 6
привести, 6
прав, 6
почему, 6
посмотрим, 6
поразила, 6
полтину, 6
покамест, 6
показалось, 6
пожаловать, 6
платье, 6
петруша, 6
петрович, 6
палаша, 6
отправились, 6
отвечать, 6
остановились, 6
остался, 6
орел, 6
одно, 6
обращаясь, 6
ногах, 6
никакого, 6
никак, 6
нетерпением, 6
несмотря, 6
немедленно, 6
нашел, 6
наше, 6
находились, 6
накануне, 6
надеюсь, 6
надежды, 6
мусье, 6
мужик, 6
мимо, 6
месте, 6
лежит, 6
кузмичу, 6
крыльца, 6
кровати, 6
конце, 6
каково, 6
имя, 6
изредка, 6
играть, 6
игнатьича, 6
злодея, 6
завтра, 6
жизнь, 6
жениться, 6
жаром, 6
дороги, 6
дорога, 6
долгу, 6
дня, 6
дитя, 6
держал, 6
денег, 6
двор, 6
двери, 6
готов, 6
господин, 6
голубушка, 6
голова, 6
говорит, 6
говорила, 6
говори, 6
глаз, 6
вчера, 6
всякого, 6
вон, 6
вниманием, 6
виселицу, 6
видя, 6
взять, 6
ветер, 6
весть, 6
веришь, 6
бывало, 6
бросился, 6
брат, 6
благополучно, 6
бедной, 6
башкирец, 6
барин, 6
андрей, 6
юлая, 5
шубу, 5
шпагу, 5
шею, 5
шайку, 5
что-то, 5
человеку, 5
часто, 5
хочу, 5
хорошенько, 5
хлопуша, 5
ума, 5
узнав, 5
увидеться, 5
трудом, 5
трактире, 5
товарищей, 5
тобой, 5
тех, 5
твои, 5
таким, 5
также, 5
сына, 5
счастию, 5
счастие, 5
столом, 5
степь, 5
стану, 5
стала, 5
стакан, 5
спросила, 5
состояние, 5
совет, 5
снова, 5
смутился, 5
смотри, 5
смерти, 5
слышно, 5
слушай, 5
служить, 5
службы, 5
службу, 5
словах, 5
сих, 5
сели, 5
сделать, 5
сделал, 5
свидетелем, 5
свете, 5
свет, 5
самый, 5
самого, 5
рукою, 5
руке, 5
росту, 5
родители, 5
родителей, 5
раздался, 5
произнес, 5
прикажешь, 5
приехал, 5
прежде, 5
пошла, 5
потребовал, 5
послал, 5
пор, 5
пойду, 5
поединок, 5
подошел, 5
подал, 5
повторил, 5
племянница, 5
петербург, 5
песенку, 5
первый, 5
